
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
cvs.netsecure.bjut.edu.cn. 3600	IN	A	219.239.98.62
sp.netsecure.bjut.edu.cn. 3600	IN	A	219.239.98.61
news.bjut.edu.cn.	3600	IN	CNAME	www.bjut.edu.cn.
nic.bjut.edu.cn.	3600	IN	A	211.71.94.248
nicshare.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
NMS.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
nnir.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
oa.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
oanew.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
Office.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
omail.bjut.edu.cn.	3600	IN	CNAME	tmail.bjut.edu.cn.
optics.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
phoenix.bjut.edu.cn.	3600	IN	A	202.112.78.3
pm.bjut.edu.cn.		3600	IN	CNAME	webwin.bjut.edu.cn.
pop3.bjut.edu.cn.	3600	IN	CNAME	mail.bjut.edu.cn.
qmcom.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
qmlab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
rce.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
redatabase.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
robocup.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
salab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sasi.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
savi6.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sbk.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sbzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
selab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
seproj.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
shehui.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
shequ.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
shijian.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sipl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sis.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
siyuan.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
sktj.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
slxy.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
smtp.bjut.edu.cn.	3600	IN	CNAME	egw.bjut.edu.cn.
softlab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
solaris.bjut.edu.cn.	3600	IN	CNAME	mail.bjut.edu.cn.
spirit.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sports.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
srv.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sse.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ssejw.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sselab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ssrc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
student.bjut.edu.cn.	3600	IN	CNAME	shijian.bjut.edu.cn.
studentwork.bjut.edu.cn. 3600	IN	NS	linkproof.bjut.edu.cn.
sus.bjut.edu.cn.	3600	IN	A	219.239.98.78
*.sus.bjut.edu.cn.	3600	IN	A	219.239.98.78
syjwgl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
sys.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
www.syzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
szjcyj.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
taichi.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tegw.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
teleteaching.bjut.edu.cn. 3600	IN	NS	linkproof.bjut.edu.cn.
time.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tl5.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tmail.bjut.edu.cn.	3600	IN	MX	10 tegw.bjut.edu.cn.
tmail.bjut.edu.cn.	3600	IN	A	124.207.38.78
top10.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
